,sentence,target
674,Berkshire applies to boost Wells Fargo stake above 10 percent,Signal
675,"Aviva, M&G suspend property funds as investors panic",Risks
676,$TSLA recall,Risks
677,Piper upgrades Symantec on improving renewal rates and enterprise growth $SYMC,Coverage
678,#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals,Signal
679,#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,Technical Analysis
680,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,Strategy
681,"UK housing market steadies after Brexit dip, Persimmon says",Market
682,Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,Price Action
683,BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,Dividend Policy
684,$ISRG Break out confirmed. Bought Leaps. Good trading!,Technical Analysis
685,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",Rumors
686,$FB & $TSLA cracking lower early. $short #correction #stocks,Price Action
687,Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,Price Action
688,Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,Price Action
689,Morrisons finance chief to fill gap as CEO leaves early,Appointment
690,"$AMZN trades in mid to upper range. No break out yet, either direction",Price Action
691,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,Risks
692,$NFLX and $TSLA making all kinds of gains 📈,Price Action
693,"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast",Price Action
694,Builder Persimmon hails 6% rise in house sales,Sales
695,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,Coverage
696,Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,Risks
697,$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,Legal
698,$TSLA weakest in todays DT watchlist,Price Action
699,"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in",Price Action
700,$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,Technical Analysis
701,"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",Sales
702,"took some $ENDP long this am, using VWAP as guide",Technical Analysis
703,"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",Options
704,$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,Price Action
705,"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",Financial
706,$NFLX I say it's time to short at this point.,Price Action
707,$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,Coverage
708,$FB slight green... May be runner later,Price Action
709,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",Coverage
710,EasyJet attracts more passengers in June but still lags Ryanair,Sales
711,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",Risks
712,Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,Financial
713,"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",Price Action
714,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",Fundamentals
715,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,Price Action
716,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",Coverage
717,4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,M&A
718,"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",Price Action
719,"$FB trend, hits mid 110's and drops",Price Action
720,$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,Price Action
721,$FB I've been dead on so far. Such a bloated valuation. https://t.co/czCf8Kbrlt,Fundamentals
722,$TSLA recall model X https://t.co/b7izYa4BuE,Risks
723,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",Risks
724,Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,Risks
725,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",Technical Analysis
726,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,Price Action
727,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,Coverage
728,Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,Coverage
729,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,Price Action
730,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,Price Action
731,Added long at friday close  $SPY $LABU $BLUE $AMZN,Price Action
732,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC",Coverage
733,long $SDLP $CPGX $TWTR $BITA $LABU $FB $TSLA $ETE $SDRL  Autocharts @ https://t.co/nxLx1ES7nY,Price Action
734,Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,Dividend Policy
735,Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,Coverage
736,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,Price Action
737,$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,Technical Analysis
738,#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,Sales
739,"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",Fundamentals
740,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",Technical Analysis
741,$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,Sales
742,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,Price Action
743,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,Risks
744,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,Price Action
745,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",Price Action
746,$CTRP not a bad long chart now that it's through sma100 resistance.,Technical Analysis
747,$ENDP Was looking for a long entry but today's price action wasn't appealing,Price Action
748,"$INTC & $AAPL strong, tech leads DOW higher",Price Action
749,$CTRP breaking out https://t.co/Z2je3rTKch,Price Action
750,$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,Price Action
751,loading $SPY and $AAPL puts. think were toppy IMHO.,Price Action
752,bot $AMZN 600 weekly calls here @ 5.93,Price Action
753,$FB watching for bounce tomorrow,Price Action
754,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,Financial
755,"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",Price Action
756,$tsla bad day to short,Price Action
757,"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",Risks
758,5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,Coverage
759,Bought some more $CELG as it is ready for a bounce.,Price Action
760,Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,Coverage
761,"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",Price Action
762,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,Price Action
763,$FB  rejecting HIGHS shortable...at 109,Price Action
764,"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",Financial
765,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,Strategy
766,$FB turns back down in early trading.... https://t.co/reuf5PzhBm,Price Action
767,Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,Price Action
768,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",Sales
769,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",Risks
770,"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",Sales
771,5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,Coverage
772,Long $ENDP @ $26.23 on $AGN b/o rumor,Price Action
773,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",Risks
774,This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,Options
775,X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,Risks
776,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,Market
777,$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,Signal
778,$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,Price Action
779,"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",Price Action
780,$SBUX heading for the 200DMA and certain doom if it can not hold there.,Technical Analysis
781,Tesco shareholders back ITV head for chairman,Appointment
782,$AMZN long into earnings. looks good over 600,Price Action
783,$GOOGL is a short below 740 into the upper BB and is overbought,Technical Analysis
784,Timberrrr $TSLA https://t.co/MRBgfDHHVa,Price Action
785,Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,Rumors
786,"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA",Risks
787,Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,Dividend Policy
788,Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,M&A
789,$SBUX inverted head & shoulders pattern in the works. bullish.,Technical Analysis
790,I see a 20 percent upside in $FB shares from here,Price Action
791,long $AAPL,Price Action
792,$FB popping up to HOD,Price Action
793,$TSLA yeah lets go down to 230s lol,Price Action
794,"Buffett's Berkshire builds Deere stake, dumps Exxon",Signal
795,#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,Risks
796,$YHOO making new HOD,Price Action
797,"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",M&A
798,$PCLN Back to Back intraday reversals look out below. Shorts moving in!,Price Action
799,$PYPL great vol flow trade here.. Love this company long time.,Price Action
800,$ISRG PT raised to $700 from $640 at Leerink - keeps Outperform rated,Coverage
801,Long $TSLA short $MBLY https://t.co/jSpUSzo6na,Price Action
802,"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",Risks
803,$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,Price Action
804,"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",Risks
805,Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,Regulatory
806,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,Strategy
807,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",Risks
808,$FB $AAPL $NKE $JWN bearish charts keep getting worse.,Technical Analysis
809,"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG",Strategy
810,$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,Price Action
811,$GILD  is expanding its research facilities...keeping up with the pace of innovation  https://t.co/uOE7FJ4LOP,Strategy
812,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",Price Action
813,TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,M&A
814,Seat belt recall? who cares....  I'm a buyer $TSLA,Risks
815,$FB gettin in the buy zone soon ;),Price Action
816,AstraZeneca's patent on asthma drug invalidated by US court,Legal
817,Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,Coverage
818,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",Technical Analysis
819,"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",Signal
820,Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.,Price Action
821,"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",Risks
822,"$AAPL bounces off support, it seems",Price Action
823,Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,Coverage
824,$GOOGL gets an upgrade price target $970,Coverage
825,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,Coverage
826,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,Legal
827,"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",Risks
828,$fb small long 109.25 via calls,Price Action
829,Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,Price Action
830,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE",Coverage
831,ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,Signal
832,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,Financial
833,$FB gone green on day,Price Action
834,"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE",Price Action
835,$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,Technical Analysis
836,$FB still a dog going much lower this week,Price Action
837,Whitbread share price climbs on Q4 sales growth,Price Action
838,Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,Risks
839,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,Signal
840,$BAC $ADSK $NFLX long this morning,Price Action
841,Locked in some $FB puts for nice gain,Price Action
842,3rd red day in a row ? $TSLA,Price Action
843,Just went long $ILMN,Price Action
844,#Apple up almost 20% from its February lows with very little fanfare. $AAPL,Price Action
845,$DISH weakness continues again. 49.43 area resistance after last week,Price Action
846,$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,Sales
847,$COST short finally making gains. I will take half my gains at 147,Price Action
848,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,Technical Analysis
849,Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,Price Action
850,"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",Price Action
851,"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",Risks
852,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,Price Action
853,Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,Coverage
854,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,Dividend Policy
855,Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,Financial
856,Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,Price Action
857,"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",Price Action
858,Warren Buffett defends Berkshire Hathaway's conglomerate structure,Company Communication
859,"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",Coverage
860,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,Risks
861,$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,Technical Analysis
862,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",Price Action
863,$JD down 20% in after-hour market. anyone care to explain why?,Price Action
864,Look at that $AMZN > 600,Price Action
865,Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,M&A
866,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,Price Action
867,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,Financial
868,long $AAPL 107 calls @ .40,Price Action
869,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",Technical Analysis
870,"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64",Coverage
871,$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,Technical Analysis
872,Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,Price Action
873,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,Risks
874,$aapl high of day just hit. Back at it tomorrow.,Price Action
875,ouch looks like $tsla shorts getting skinned again,Price Action
876,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",Dividend Policy
877,Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,Coverage
878,$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,Price Action
879,Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews,Coverage
880,"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",Options
881,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,Strategy
882,G4S sees profits rise but UK contract problems remain,Risks
883,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,Financial
884,Auto Trader share price surges as company floats on LSE,Price Action
885,New Credit Suisse boss faces stiff challenge in Asia,Risks
886,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",Sales
887,Is It Worth Investing In Tesco PLC And Prudential plc Now?,Strategy
888,Insight hires Aviva's David Hillier for multi-asset team,Appointment
889,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,Market
890,Sainsbury's says to outperform rivals in tough market,Market
891,CompaniesKingfisher bid for Mr Bricolage runs into trouble,M&A
892,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,IPO
893,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",Market
894,GSK and Novartis complete deals to reshape both drugmakers,Strategy
895,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",M&A
896,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,M&A
897,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",Price Action
898,British American Tobacco drops and sues PwC over pollution scandal,Price Action
899,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,Market
900,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",Rumors
901,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,M&A
902,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,Sales
903,RBI surprises Street; Sensex pares gains after hitting mount 30k,Price Action
904,Credit Suisse poaches Prudential's Thiam for Asian push,Strategy
905,Kingfisher takeover of Mr Bricolage could hit a brick wall,M&A
906,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",Price Action
907,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,Price Action
908,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,Sales
909,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,Signal
910,Randgold profit hit by poor gold price but dividend still increases,Dividend Policy
911,"CompaniesTravis Perkins lifts dividend, earnings rise 15%",Dividend Policy
912,Market Report: Aviva tops the market as traders approve of its choice of Friends,Market
913,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,Appointment
914,Primark racks up a happy Christmas after strong sales,Sales
915,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",Regulatory
916,CompaniesDiageo stays neutral on India boardroom turmoil,Risks
917,UPDATE 1-Pearson expects to grow this year after solid end to 2014,Fundamentals
918,Germanwings disaster will not affect image of budget air travel - easyJet,Reputation
919,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,Rumors
920,Tesco sells Blinkbox and broadband service to TalkTalk,Sales
921,Shell offers 50 percent premium to buy BG for $70 billion,M&A
922,WPP boosts sales despite cautious clients,Sales
923,Shell to buy BG Group in $69.7 billion takeover,M&A
924,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,Price Action
925,UPDATE 1-BP shareholders back more disclosure on climate change risks,Risks
926,Shell challenges Exxon dominance with 47 billion-pound bid for BG,Strategy
927,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,M&A
928,City spirits sink after Diageo comes up short with sales slide,Sales
929,Diageo receives reports from United Spirits on financial irregularities involving ...,Reputation
930,Unilever profit rises despite sales slump in China,Sales
931,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,Sales
932,Tesco sales rise shows tentative recovery continues,Sales
933,Diageo sales disappoint as currency and comparatives leave bitter taste,Sales
934,Tesco leads leap in FTSE 100; Marks & Spencer drops,Technical Analysis
935,AstraZeneca profit down as sales of stalwarts fade,Sales
936,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",Sales
937,Glencore blames rivals for creating metals glut,Risks
938,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,Dividend Policy
939,easyJet leads Britain's FTSE lower as global bond rout resumes,Volatility
940,Imperial Tobacco Adds Quarterly Dividends After Profit Rose,Dividend Policy
941,Royal Dutch Shell profit rises; dividend up 4%,Dividend Policy
942,BG Group Still Happy With Shell's $70 Billion Offer,M&A
943,SABMiller buys Meantime to quench thirst for craft beer,M&A
944,Aviva shuts Friends Life head office in rapid integration move,Strategy
945,Retailers Kingfisher and Sports Direct rise in Britain's share index,Technical Analysis
946,"GlaxoSmithKline targets growth across units, scraps ViiV IPO",IPO
947,Tesco share price closes higher as two more directors leave grocer,Price Action
948,Tesco leads FTSE higher on Clubcard bid reports,Rumors
949,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,Technical Analysis
950,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",Sales
951,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",Legal
952,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,Price Action
953,Glencore chief blames rivals' overproduction for share price fall,Price Action
954,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",Legal
955,Hargreaves Lansdown share price falls as costs mount - although pensions ...,Price Action
956,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",Appointment
957,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,Signal
958,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",Legal
959,MillerCoors Board Names Gavin Hattersley Interim CEO,Appointment
960,"Britain's FTSE gains, Land Securities up after dividend hike",Dividend Policy
961,"Britain's FTSE bounces back, Mondi and Barratt lead",Price Action
962,Morning Agenda: Shire's Deal for NPS,Sales
963,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,Sales
964,Do it for me' trend underpins UK sales growth at Kingfisher,Sales
965,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",Strategy
966,"Centrica extends gas deals with Gazprom, Statoil",Sales
967,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,Strategy
968,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",Conditions
969,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,Regulatory
970,Severn Trent share price jumps as Canadian investor renews pursuit of utility,Price Action
971,New Morrisons duo get former boss's support to diffuse investor tension,Risks
972,S&P downgrades Barclays and RBS on government bailout fears,Coverage
973,Irish housebuilder Cairn Homes plans London listing,IPO
974,Arm slammed by handset sales outlook,Sales
975,CompaniesLSE adds ex-SEC head Schapiro to board,Appointment
976,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,Sales
977,FTSE 100 flat; Standard Chartered leads risers,Price Action
978,CompaniesHoward Davies appointment as RBS director delayed,Appointment
979,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,Appointment
980,Passengers rise at EasyJet and Aer Lingus,Sales
981,Dixons Carphone profit boost on strong sales,Sales
982,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",Price Action
983,"Royal Mail, Johnson Matthey lead FTSE lower",Market
984,Sainsbury sales slip again as price pressures take a toll,Price Action
985,Sophos aims to raise $100m in London IPO,IPO
986,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,M&A
987,Borealis Infrastructure putting together new Severn Trent bid,M&A
988,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",Risks
989,Johnson Matthey share price slumps as company posts full-year results,Price Action
990,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,Legal
991,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,Strategy
992,Petrofac books further Â£30m cost for Shetland gas terminal delays,Risks
993,Petrofac share price rises despite Â£30m costs on North Sea project,Price Action
994,Whitbread boss Andy Harrison defends sales fall as 'just a blip',Sales
995,Barclays share price subdued as bank faces fresh forex probe,Price Action
996,CompaniesActelion shares hit record on Shire takeover talk,Rumors
997,"FDA approves NPS drug, in move validating Shire takeover deal",M&A
998,LSE gets Hong Kong regulatory nod to HK firms to become LSE members,Regulatory
999,Diageo Shares Surge on Report of Possible Takeover by Lemann,Technical Analysis
1000,RBS chairman admits surprise at size of regulatory penalties,Regulatory
1001,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,Appointment
